HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b9q2,b9q3,b9q4,NSC,MLT
533393011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,01,1,10,13,6,22000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,10,05,7,2000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,10,13,7,2000,2,881600
533393041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,04,1,10,05,6,2200,2,881600
533393041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,04,1,10,13,6,2200,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,10,05,6,1500,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,10,13,6,1500,2,881600
533396011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,1,10,05,10,2200,2,261000
533396011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,1,10,13,10,2200,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,10,05,6,2500,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,10,13,6,2500,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,10,05,6,2000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,10,13,6,2000,2,261000
533396051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,05,1,10,05,5,1800,2,261000
533396051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,05,1,10,13,5,1800,2,261000
533396061,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,1,10,05,6,2200,2,261000
533396061,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,1,10,13,6,2200,2,261000
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,10,05,8,600,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,10,11,4,300,1,8400
