HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b14q2,b14q3,b14q4,b14q5,b14q6,b14q7,b14q8,NSC,MLT
533353052,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,2,16,11,,250,,,,250,2,241800
533353052,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,2,16,97,,250,0,0,0,250,2,241800
533393032,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,2,16,11,,700,,,,700,2,881600
533393032,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,2,16,97,,700,0,0,0,700,2,881600
533393042,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,04,2,16,11,,150,,,,150,2,881600
533393042,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,04,2,16,97,,150,0,0,0,150,2,881600
533396012,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,2,16,11,,350,,,,350,2,261000
533396012,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,2,16,97,,350,0,0,0,350,2,261000
533396032,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,2,16,11,,500,,,,500,2,261000
533396032,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,2,16,97,,500,0,0,0,500,2,261000
533396042,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,2,16,11,,300,,,,300,2,261000
533396042,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,2,16,97,,300,0,0,0,300,2,261000
533396062,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,2,16,11,,250,,,,250,2,261000
533396062,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,2,16,97,,250,0,0,0,250,2,261000
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,16,09,,1000,,,,1000,1,8400
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,16,11,,500,,,,500,1,8400
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,16,14,,400,,,,400,1,8400
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,16,97,,1900,0,0,0,1900,1,8400
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,16,11,,,1000,200,,1200,1,8400
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,16,97,,0,1000,200,0,1200,1,8400
533322012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,2,16,13,,10500,,,,10500,1,16800
533322012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,2,16,14,,600,,,,600,1,16800
533322012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,2,16,97,,11100,0,0,0,11100,1,16800
533322022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,2,16,02,,,,10000,,10000,1,16800
533322022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,2,16,11,,5000,,,,5000,1,16800
533322022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,2,16,97,,5000,0,10000,0,15000,1,16800
533323012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,3,01,2,16,11,,1000,,,,1000,1,19600
533323012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,3,01,2,16,97,,1000,0,0,0,1000,1,19600
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,16,02,,,,8000,,8000,1,8400
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,16,09,,500,,,,500,1,8400
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,16,11,,500,,,,500,1,8400
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,16,97,,1000,0,8000,0,9000,1,8400
533325012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,2,16,11,,700,,,,700,1,72800
533325012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,2,16,14,,500,,,,500,1,72800
533325012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,2,16,97,,1200,0,0,0,1200,1,72800
533325022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,2,16,11,,500,,,,500,1,72800
533325022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,2,16,14,,500,,,,500,1,72800
533325022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,2,16,97,,1000,0,0,0,1000,1,72800
533326012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,01,2,16,11,,600,,,,600,1,89600
533326012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,01,2,16,97,,600,0,0,0,600,1,89600
533326022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,2,16,11,,400,,,,400,1,89600
533326022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,2,16,13,,10600,,,,10600,1,89600
533326022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,2,16,97,,11000,0,0,0,11000,1,89600
533314032,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,2,16,11,,3000,0,0,,3000,2,249167
533314032,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,2,16,13,,15000,0,,0,15000,2,249167
533314032,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,2,16,97,,18000,0,0,0,18000,2,249167
533301022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,2,16,11,,450,240,,,690,1,9700
533301022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,2,16,97,,450,240,0,0,690,1,9700
