HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b7q2,b7q3,b7q4,NSC,MLT
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,17,7,47600,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,08,08,1,3000,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,08,10,1,13500,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,08,13,2,16500,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,08,14,2,8000,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,08,17,4,24500,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,08,09,2,45000,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,08,13,2,45000,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,08,14,3,9000,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,08,15,2,550,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,08,17,7,54550,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,08,09,1,20000,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,08,10,1,16500,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,08,13,2,36500,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,08,14,4,13500,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,08,17,6,50000,2,434000
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,08,1,20000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,09,1,40000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,13,2,60000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,14,2,9000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,15,8,4000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,08,17,12,73000,2,14450
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,08,09,1,40000,2,121380
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,08,13,1,40000,2,121380
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,08,14,1,5000,2,121380
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,08,17,2,45000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,08,1,25000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,09,1,35000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,13,2,60000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,14,1,8000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,15,2,2000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,08,17,5,70000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,08,1,15000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,09,2,50000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,13,3,65000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,14,5,25000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,15,8,4000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,08,17,16,94000,2,121380
533373051,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,05,1,08,10,1,40000,2,121380
533373051,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,05,1,08,13,1,40000,2,121380
533373051,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,05,1,08,17,1,40000,2,121380
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,08,10,1,30000,2,14450
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,08,13,1,30000,2,14450
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,08,15,6,3000,2,14450
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,08,17,7,33000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,09,1,40000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,10,1,20000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,13,2,60000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,14,2,12000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,15,7,3500,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,08,17,11,75500,2,14450
533374031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,03,1,08,10,1,35000,2,14450
533374031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,03,1,08,13,1,35000,2,14450
533374031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,03,1,08,17,1,35000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,09,2,140000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,10,1,40000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,13,3,180000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,14,6,60000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,15,6,3000,2,14450
533375011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,5,01,1,08,17,15,243000,2,14450
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,08,1,20000,2,469625
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,09,1,40000,2,469625
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,13,2,60000,2,469625
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,14,1,8000,2,469625
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,15,4,2000,2,469625
533376011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,01,1,08,17,7,70000,2,469625
533376021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,02,1,08,04,1,15000,2,469625
533376021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,02,1,08,13,1,15000,2,469625
533376021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,6,02,1,08,17,1,15000,2,469625
533392011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,2,01,1,08,03,1,300000,2,58000
533392011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,2,01,1,08,13,1,300000,2,58000
533392011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,2,01,1,08,17,1,300000,2,58000
533393011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,01,1,08,09,1,35000,2,881600
533393011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,01,1,08,13,1,35000,2,881600
533393011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,01,1,08,17,1,35000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,08,08,1,30000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,08,09,1,30000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,08,13,2,60000,2,881600
533393031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,03,1,08,17,2,60000,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,08,1,30000,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,09,1,35000,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,13,2,65000,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,14,1,10000,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,15,3,1200,2,881600
533393051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,05,1,08,17,6,76200,2,881600
533396011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,1,08,09,1,25000,2,261000
533396011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,1,08,13,1,25000,2,261000
533396011,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,01,1,08,17,1,25000,2,261000
533396021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,02,1,08,09,1,40000,2,261000
533396021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,02,1,08,13,1,40000,2,261000
533396021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,02,1,08,15,1,400,2,261000
533396021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,02,1,08,17,2,40400,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,02,2,40000,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,08,2,50000,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,09,3,100000,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,13,7,190000,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,15,2,1000,2,261000
533396031,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,03,1,08,17,9,191000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,08,01,1,40000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,08,08,1,30000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,08,09,1,30000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,08,13,3,100000,2,261000
533396041,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,04,1,08,17,3,100000,2,261000
533396051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,05,1,08,09,1,30000,2,261000
533396051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,05,1,08,13,1,30000,2,261000
533396051,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,05,1,08,17,1,30000,2,261000
533396061,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,1,08,09,1,35000,2,261000
533396061,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,1,08,13,1,35000,2,261000
533396061,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,6,06,1,08,17,1,35000,2,261000
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,01,2,30000,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,07,1,2000,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,09,1,20000,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,13,4,52000,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,14,2,10000,1,8400
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,08,17,6,62000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,08,03,2,50000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,08,07,1,2000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,08,08,1,5000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,08,13,4,57000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,08,17,4,57000,1,8400
