HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b10q2,b10q3,NSC,MLT
533731011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,1,11,09,20000,2,27800
533731011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,1,11,15,20000,2,27800
533731011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,1,11,17,1200000,2,27800
533731011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,1,11,19,10000,2,27800
533731011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,1,11,20,1230000,2,27800
533731031,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,03,1,11,19,5000,2,27800
533731031,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,03,1,11,20,5000,2,27800
533733011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,3,01,1,11,19,4000,2,472600
533733011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,3,01,1,11,20,4000,2,472600
533734021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,4,02,1,11,02,18000,2,55600
533734021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,4,02,1,11,15,18000,2,55600
533734021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,4,02,1,11,19,2000,2,55600
533734021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,4,02,1,11,20,20000,2,55600
533735011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,5,01,1,11,18,10000,2,83400
533735011,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,5,01,1,11,20,10000,2,83400
533735021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,5,02,1,11,14,1500,2,83400
533735021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,5,02,1,11,15,1500,2,83400
533735021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,5,02,1,11,20,1500,2,83400
533736021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,1,11,14,2000,2,1091150
533736021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,1,11,15,2000,2,1091150
533736021,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,1,11,20,2000,2,1091150
533791011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,1,01,1,11,02,100,1,15200
533791011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,1,01,1,11,15,100,1,15200
533791011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,1,01,1,11,20,100,1,15200
533794011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,4,01,1,11,02,170,1,62700
533794011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,4,01,1,11,15,170,1,62700
533794011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,4,01,1,11,20,170,1,62700
533795011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,5,01,1,11,02,240,1,34200
533795011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,5,01,1,11,15,240,1,34200
533795011,771,53379,77,182,1,1,013,01,0102,02,02,21,1,0120,5,01,1,11,20,240,1,34200
533726011,771,53372,77,182,1,1,013,01,0102,02,02,31,1,0120,6,01,1,11,02,50,2,1305000
533726011,771,53372,77,182,1,1,013,01,0102,02,02,31,1,0120,6,01,1,11,15,50,2,1305000
533726011,771,53372,77,182,1,1,013,01,0102,02,02,31,1,0120,6,01,1,11,20,50,2,1305000
533701021,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,02,1,11,10,200,1,10125
533701021,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,02,1,11,15,200,1,10125
533701021,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,02,1,11,19,40000,1,10125
533701021,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,02,1,11,20,40200,1,10125
533701041,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,04,1,11,05,100000,1,10125
533701041,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,04,1,11,15,100000,1,10125
533701041,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,04,1,11,19,2000,1,10125
533701041,771,53370,77,182,1,1,014,01,0103,03,03,11,1,0120,1,04,1,11,20,102000,1,10125
533783031,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,03,1,11,05,5000,2,114500
533783031,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,03,1,11,15,5000,2,114500
533783031,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,03,1,11,20,5000,2,114500
533783041,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,04,1,11,09,5700,2,114500
533783041,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,04,1,11,14,2500,2,114500
533783041,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,04,1,11,15,8200,2,114500
533783041,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,04,1,11,19,6000,2,114500
533783041,771,53378,77,182,1,1,013,01,0108,08,08,31,1,0122,3,04,1,11,20,14200,2,114500
533933011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,01,1,11,18,3000,2,1850
533933011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,01,1,11,20,3000,2,1850
533933021,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,02,1,11,19,38000,2,1850
533933021,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,02,1,11,20,38000,2,1850
533933041,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,04,1,11,18,30000,2,1850
533933041,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,04,1,11,19,25000,2,1850
533933041,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,3,04,1,11,20,55000,2,1850
533934011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,4,01,1,11,18,3000,2,1850
533934011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,4,01,1,11,20,3000,2,1850
533934021,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,4,02,1,11,19,1500,2,1850
533934021,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,4,02,1,11,20,1500,2,1850
533935011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,5,01,1,11,18,2800,2,2467
533935011,771,53393,77,182,1,1,013,01,0108,08,08,11,1,0122,5,01,1,11,20,2800,2,2467
533955021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,5,02,1,11,09,1500,1,7600
533955021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,5,02,1,11,10,18000,1,7600
533955021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,5,02,1,11,15,19500,1,7600
533955021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,5,02,1,11,20,19500,1,7600
533956011,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,01,1,11,02,2000,1,91200
533956011,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,01,1,11,09,3000,1,91200
533956011,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,01,1,11,15,5000,1,91200
533956011,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,01,1,11,20,5000,1,91200
533956021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,02,1,11,09,2000,1,91200
533956021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,02,1,11,15,2000,1,91200
533956021,771,53395,77,182,1,1,013,01,0108,08,08,21,1,0122,6,02,1,11,20,2000,1,91200
533993011,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,01,1,11,19,1000,2,12900
533993011,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,01,1,11,20,1000,2,12900
533993021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,02,1,11,19,2000,2,12900
533993021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,02,1,11,20,2000,2,12900
533993031,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,03,1,11,19,5000,2,12900
533993031,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,3,03,1,11,20,5000,2,12900
