HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b13q1,b13q2,b13q3,b13q4,b13q5,NSC,MLT
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,15,01,3,9,9,2300,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,15,99,,,,2300,2,4600
533552012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,01,2,15,01,2,9,9,1000,2,2300
533552012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,01,2,15,99,,,,1000,2,2300
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,15,01,2,9,9,1200,2,2300
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,15,99,,,,1200,2,2300
533553012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,01,2,15,01,2,9,9,850,2,5750
533553012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,01,2,15,99,,,,850,2,5750
533553022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,02,2,15,01,2,9,9,1350,2,5750
533553022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,02,2,15,99,,,,1350,2,5750
533556012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,01,2,15,01,3,9,9,1500,2,9200
533556012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,01,2,15,99,,,,1500,2,9200
533556022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,02,2,15,01,2,9,9,1450,2,9200
533556022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,02,2,15,99,,,,1450,2,9200
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,15,01,2,9,3,1250,2,132000
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,15,99,,,,1250,2,132000
533511022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,02,2,15,01,2,9,9,650,2,132000
533511022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,02,2,15,99,,,,650,2,132000
533512022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,2,02,2,15,01,3,9,9,850,2,39600
533512022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,2,02,2,15,99,,,,850,2,39600
533513012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,01,2,15,01,4,9,9,12500,2,488400
533513012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,01,2,15,99,,,,12500,2,488400
533513022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,02,2,15,01,3,9,9,1300,2,488400
533513022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,02,2,15,99,,,,1300,2,488400
533514022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,02,2,15,01,3,9,9,6500,2,26400
533514022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,02,2,15,99,,,,6500,2,26400
533516012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,01,2,15,01,3,9,9,650,2,198000
533516012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,01,2,15,99,,,,650,2,198000
533516032,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,03,2,15,01,2,9,9,460,2,198000
533516032,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,03,2,15,99,,,,460,2,198000
533502012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,2,01,2,15,01,4,9,9,6500,1,5300
533502012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,2,01,2,15,99,,,,6500,1,5300
533542022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,2,02,2,15,01,5,9,3,14500,2,147000
533542022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,2,02,2,15,99,,,,14500,2,147000
533212012,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,2,01,2,15,01,2,1,9,10000,2,103333
533212012,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,2,01,2,15,99,,,,10000,2,103333
533213022,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,3,02,2,15,01,2,1,9,5000,2,124000
533213022,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,3,02,2,15,99,,,,5000,2,124000
533215012,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,5,01,2,15,01,2,1,9,4000,2,558000
533215012,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,5,01,2,15,99,,,,4000,2,558000
533215042,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,5,04,2,15,01,2,1,9,10000,2,558000
533215042,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,5,04,2,15,99,,,,10000,2,558000
533216022,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,6,02,2,15,01,2,1,9,10000,2,248000
533216022,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,6,02,2,15,99,,,,10000,2,248000
533202012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,2,01,2,15,01,2,1,3,2000,2,14450
533202012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,2,01,2,15,99,,,,2000,2,14450
533203012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,3,01,2,15,01,2,1,3,2500,2,24083
533203012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,3,01,2,15,99,,,,2500,2,24083
533203022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,3,02,2,15,01,2,1,3,1500,2,24083
533203022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,3,02,2,15,99,,,,1500,2,24083
533204012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,4,01,2,15,01,2,1,3,2000,2,36125
533204012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,4,01,2,15,99,,,,2000,2,36125
533204022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,4,02,2,15,01,2,1,3,1500,2,36125
533204022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,4,02,2,15,99,,,,1500,2,36125
533205022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,5,02,2,15,01,2,1,3,1200,2,144500
533205022,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,5,02,2,15,99,,,,1200,2,144500
533206012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,01,2,15,01,2,1,3,1700,2,527425
533206012,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,01,2,15,99,,,,1700,2,527425
533261022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,1,02,2,15,01,2,1,9,15000,2,377000
533261022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,1,02,2,15,99,,,,15000,2,377000
533262012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,2,01,2,15,01,2,1,9,9000,2,87000
533262012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,2,01,2,15,99,,,,9000,2,87000
533262022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,2,02,2,15,01,3,1,9,13000,2,87000
533262022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,2,02,2,15,99,,,,13000,2,87000
533263012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,3,01,2,15,01,2,1,9,20000,2,348000
533263012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,3,01,2,15,99,,,,20000,2,348000
533263022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,3,02,2,15,01,3,2,9,10009,2,348000
533263022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,3,02,2,15,99,,,,10009,2,348000
533264012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,4,01,2,15,01,4,1,9,8000,2,783000
533264012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,4,01,2,15,99,,,,8000,2,783000
533265022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,5,02,2,15,01,2,1,9,10000,2,638000
533265022,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,5,02,2,15,99,,,,10000,2,638000
533266012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,6,01,2,15,01,3,1,9,5000,2,986000
533266012,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,6,01,2,15,99,,,,5000,2,986000
533151012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,01,2,15,01,3,9,3,1340,2,107333
533151012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,01,2,15,99,,,,1340,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,15,01,4,9,3,1460,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,15,99,,,,1460,2,107333
533151032,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,2,15,01,2,9,3,450,2,107333
533151032,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,2,15,99,,,,450,2,107333
533152012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,2,01,2,15,01,2,9,9,300,2,32200
533152012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,2,01,2,15,99,,,,300,2,32200
533153022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,3,02,2,15,01,3,9,3,640,2,692300
533153022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,3,02,2,15,99,,,,640,2,692300
533154012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,4,01,2,15,01,3,9,3,980,2,40250
533154012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,4,01,2,15,99,,,,980,2,40250
533173022,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,02,2,15,01,3,9,3,2500,1,11620
533173022,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,02,2,15,99,,,,2500,1,11620
533173032,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,03,2,15,01,2,9,9,700,1,11620
533173032,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,03,2,15,99,,,,700,1,11620
533173042,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,04,2,15,01,2,9,9,400,1,11620
533173042,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,3,04,2,15,99,,,,400,1,11620
533174022,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,4,02,2,15,01,3,9,9,1500,1,8300
533174022,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,4,02,2,15,99,,,,1500,1,8300
533175012,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,5,01,2,15,01,3,9,3,1000,1,58100
533175012,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,5,01,2,15,99,,,,1000,1,58100
533176012,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,6,01,2,15,01,2,9,9,400,1,45650
533176012,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,6,01,2,15,99,,,,400,1,45650
533191012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,1,01,2,15,01,3,9,9,450,2,32700
533191012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,1,01,2,15,99,,,,450,2,32700
533191022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,1,02,2,15,01,3,9,9,680,2,32700
533191022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,1,02,2,15,99,,,,680,2,32700
533192022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,2,02,2,15,01,2,9,9,540,2,32700
533192022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,2,02,2,15,99,,,,540,2,32700
533193012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,3,01,2,15,01,2,9,9,315,2,81750
533193012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,3,01,2,15,99,,,,315,2,81750
533193022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,3,02,2,15,01,2,9,9,780,2,81750
533193022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,3,02,2,15,99,,,,780,2,81750
533194012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,4,01,2,15,01,2,9,9,780,2,59950
533194012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,4,01,2,15,99,,,,780,2,59950
533194022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,4,02,2,15,01,3,3,9,450,2,59950
533194022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,4,02,2,15,99,,,,450,2,59950
533195012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,5,01,2,15,01,1,9,9,30,2,152600
533195012,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,5,01,2,15,99,,,,30,2,152600
533195022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,5,02,2,15,01,2,9,9,490,2,152600
533195022,771,53319,77,182,1,1,012,01,0117,17,17,32,2,0111,5,02,2,15,99,,,,490,2,152600
533121012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,1,01,2,15,01,2,9,3,1000,2,111150
533121012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,1,01,2,15,99,,,,1000,2,111150
533122022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,2,02,2,15,01,2,9,3,800,2,34200
533122022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,2,02,2,15,99,,,,800,2,34200
533124012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,01,2,15,01,4,1,3,18000,2,34200
533124012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,01,2,15,99,,,,18000,2,34200
533124022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,02,2,15,01,3,9,3,6000,2,34200
533124022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,02,2,15,99,,,,6000,2,34200
533125012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,5,01,2,15,01,2,9,9,600,2,94050
533125012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,5,01,2,15,99,,,,600,2,94050
533125022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,5,02,2,15,01,3,9,3,3000,2,94050
533125022,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,5,02,2,15,99,,,,3000,2,94050
533126012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,6,01,2,15,01,2,9,3,1000,2,188100
533126012,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,6,01,2,15,99,,,,1000,2,188100
533111012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,1,01,2,15,01,2,9,9,435,2,20250
533111012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,1,01,2,15,99,,,,435,2,20250
533112012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,01,2,15,01,2,9,9,600,2,27000
533112012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,01,2,15,99,,,,600,2,27000
533112022,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,02,2,15,01,2,9,9,750,2,27000
533112022,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,02,2,15,99,,,,750,2,27000
533112032,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,03,2,15,01,3,9,9,1200,2,27000
533112032,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,2,03,2,15,99,,,,1200,2,27000
533113022,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,3,02,2,15,01,3,9,9,1540,2,172125
533113022,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,3,02,2,15,99,,,,1540,2,172125
533115012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,5,01,2,15,01,3,9,9,650,2,303750
533115012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,5,01,2,15,99,,,,650,2,303750
533116012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,6,01,2,15,01,2,9,9,800,2,415125
533116012,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,6,01,2,15,99,,,,800,2,415125
533103012,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,3,01,2,15,01,3,2,3,1000,2,2300
533103012,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,3,01,2,15,99,,,,1000,2,2300
533105022,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,02,2,15,01,2,9,3,1200,2,2300
533105022,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,02,2,15,99,,,,1200,2,2300
533105042,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,04,2,15,01,2,9,3,600,2,2300
533105042,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,04,2,15,99,,,,600,2,2300
533105072,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,07,2,15,01,2,1,3,800,2,2300
533105072,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,5,07,2,15,99,,,,800,2,2300
533106012,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,6,01,2,15,01,2,1,3,1200,2,6133
533106012,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,6,01,2,15,99,,,,1200,2,6133
533106022,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,6,02,2,15,01,3,2,3,2500,2,6133
533106022,771,53310,77,182,1,1,012,01,0118,18,18,21,2,0111,6,02,2,15,99,,,,2500,2,6133
533161012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,01,2,15,01,2,9,3,560,1,23800
533161012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,01,2,15,99,,,,560,1,23800
533162012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,2,15,01,2,9,3,1240,1,11900
533162012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,2,15,99,,,,1240,1,11900
533162022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,02,2,15,01,3,9,3,640,1,11900
533162022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,02,2,15,99,,,,640,1,11900
533164012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,4,01,2,15,01,2,9,9,680,1,3400
533164012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,4,01,2,15,99,,,,680,1,3400
533165012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,5,01,2,15,01,3,9,3,1150,1,3400
533165012,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,5,01,2,15,99,,,,1150,1,3400
533165022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,5,02,2,15,01,3,9,3,1230,1,3400
533165022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,5,02,2,15,99,,,,1230,1,3400
533166022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,02,2,15,01,3,9,3,870,1,23800
533166022,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,02,2,15,99,,,,870,1,23800
533166032,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,03,2,15,01,3,9,3,1250,1,23800
533166032,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,03,2,15,99,,,,1250,1,23800
533181012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,1,01,2,15,01,3,9,9,12500,1,12950
533181012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,1,01,2,15,99,,,,12500,1,12950
533181022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,1,02,2,15,01,3,3,9,3800,1,12950
533181022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,1,02,2,15,99,,,,3800,1,12950
